state,offence_category,subcategory,2025_population,2026_population,month,incident_count
NSW,Coercive Control,,8479314,8479314,1995-02-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-02-01,336
NSW,Other offences against the person,,8479314,8479314,1995-02-01,69
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-02-01,4110
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-02-01,2981
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-02-01,438
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-02-01,3694
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-02-01,4485
NSW,Theft,Steal from retail store,8479314,8479314,1995-02-01,1713
NSW,Theft,Steal from dwelling,8479314,8479314,1995-02-01,1960
NSW,Theft,Steal from person,8479314,8479314,1995-02-01,716
NSW,Theft,Stock theft,8479314,8479314,1995-02-01,59
NSW,Theft,Fraud,8479314,8479314,1995-02-01,1229
NSW,Theft,Other theft,8479314,8479314,1995-02-01,3552
NSW,Arson,,8479314,8479314,1995-02-01,198
NSW,Malicious damage to property,,8479314,8479314,1995-02-01,5350
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-02-01,9
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-02-01,84
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-02-01,737
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-02-01,86
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-02-01,6
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-02-01,23
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-02-01,6
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-02-01,42
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-02-01,121
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-02-01,50
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-02-01,1
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-02-01,9
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-02-01,349
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-02-01,1
NSW,Drug offences,Importing drugs,8479314,8479314,1995-02-01,0
NSW,Drug offences,Other drug offences,8479314,8479314,1995-02-01,192
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-02-01,283
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-02-01,235
NSW,Disorderly conduct,Offensive conduct,8479314,8479314,1995-02-01,264
NSW,Disorderly conduct,Offensive language,8479314,8479314,1995-02-01,469
NSW,Disorderly conduct,Criminal intent,8479314,8479314,1995-02-01,138
NSW,Betting and gaming offences,,8479314,8479314,1995-02-01,3
NSW,Liquor offences,,8479314,8479314,1995-02-01,72
NSW,Pornography offences,,8479314,8479314,1995-02-01,3
NSW,Against justice procedures,Escape custody,8479314,8479314,1995-02-01,29
NSW,Against justice procedures,Breach Apprehended Violence Order,8479314,8479314,1995-02-01,240
NSW,Against justice procedures,Breach bail conditions,8479314,8479314,1995-02-01,115
NSW,Against justice procedures,Fail to appear,8479314,8479314,1995-02-01,143
NSW,Against justice procedures,Resist or hinder officer,8479314,8479314,1995-02-01,347
NSW,Against justice procedures,Other offences against justice procedures,8479314,8479314,1995-02-01,294
NSW,Transport regulatory offences,,8479314,8479314,1995-02-01,57
NSW,Other offences,,8479314,8479314,1995-02-01,533
NSW,Homicide,Murder *,8479314,8479314,1995-03-01,10
NSW,Homicide,Attempted murder,8479314,8479314,1995-03-01,4
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-03-01,0
NSW,Homicide,Manslaughter *,8479314,8479314,1995-03-01,1
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-03-01,625
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-03-01,2381
NSW,Assault,Assault Police,8479314,8479314,1995-03-01,181
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-03-01,199
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-03-01,434
NSW,Abduction and kidnapping,,8479314,8479314,1995-03-01,23
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-03-01,366
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-03-01,58
NSW,Robbery,Robbery with a weapon not a firearm,8479314,8479314,1995-03-01,122
NSW,Blackmail and extortion,,8479314,8479314,1995-03-01,2
NSW,Coercive Control,,8479314,8479314,1995-03-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-03-01,436
NSW,Other offences against the person,,8479314,8479314,1995-03-01,81
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-03-01,4951
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-03-01,3369
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-03-01,541
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-03-01,4134
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-03-01,4469
NSW,Theft,Steal from retail store,8479314,8479314,1995-03-01,1901
NSW,Theft,Steal from dwelling,8479314,8479314,1995-03-01,2061
NSW,Theft,Steal from person,8479314,8479314,1995-03-01,763
NSW,Theft,Stock theft,8479314,8479314,1995-03-01,83
NSW,Theft,Fraud,8479314,8479314,1995-03-01,1637
NSW,Theft,Other theft,8479314,8479314,1995-03-01,3960
NSW,Arson,,8479314,8479314,1995-03-01,209
NSW,Malicious damage to property,,8479314,8479314,1995-03-01,5752
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-03-01,13
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-03-01,139
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-03-01,948
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-03-01,80
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-03-01,4
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-03-01,23
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-03-01,6
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-03-01,90
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-03-01,162
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-03-01,34
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-03-01,1
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-03-01,8
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-03-01,339
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-03-01,1
NSW,Drug offences,Importing drugs,8479314,8479314,1995-03-01,1
NSW,Drug offences,Other drug offences,8479314,8479314,1995-03-01,206
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-03-01,329
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-03-01,225
NSW,Disorderly conduct,Offensive conduct,8479314,8479314,1995-03-01,275
NSW,Disorderly conduct,Offensive language,8479314,8479314,1995-03-01,480
NSW,Disorderly conduct,Criminal intent,8479314,8479314,1995-03-01,133
NSW,Betting and gaming offences,,8479314,8479314,1995-03-01,6
NSW,Liquor offences,,8479314,8479314,1995-03-01,99
NSW,Pornography offences,,8479314,8479314,1995-03-01,4
