sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
10001,Aarons Pass,33,8,12,0,1625,6,9
10002,Abbotsbury,4200,2101,2096,59,2621,19,292
10003,Abbotsford (NSW),5431,3039,2797,100,2263,92,672
10004,Abercrombie,1127,476,629,13,2202,20,155
10005,Abercrombie River,21,8,10,0,1024,0,0
10006,Aberdare,2542,652,1167,85,1251,62,198
10007,Aberdeen (NSW),2051,480,982,31,1426,44,200
10008,Aberfoyle,121,48,68,0,2250,0,29
10009,Aberglasslyn,6552,2141,3515,145,2147,161,505
10010,Abermain,2544,535,1179,83,1449,54,175
10011,Abernethy,317,81,174,5,2069,0,34
10012,Abington (NSW),29,9,17,0,2374,0,8
10013,Acacia Creek,30,10,12,0,949,4,3
10014,Acacia Gardens,3668,2051,2080,93,2796,31,315
10015,Adaminaby,339,95,144,13,954,11,55
10016,Adamstown,6335,3087,3643,159,1875,225,751
10017,Adamstown Heights,5621,2745,2947,86,2325,157,765
10018,Adelong,938,275,437,26,1158,29,184
10019,Adjungbilly,101,27,47,0,2312,0,14
10020,Afterlee,32,3,11,0,762,6,9
10021,Agnes Banks,996,304,518,7,2454,19,82
10022,Airds,3265,843,842,115,944,31,109
10023,Akolele,165,46,54,9,778,3,29
10024,Albert,77,23,41,0,1187,0,21
10025,Albion Park,13826,4406,7167,231,1938,255,1119
10026,Albion Park Rail,6920,1835,3085,158,1411,143,537
10027,Albury,4955,2454,2635,107,1601,139,940
10028,Aldavilla,1443,177,307,11,1222,22,97
10029,Alectown,151,50,86,0,1803,4,43
10030,Alexandria,9649,7145,6964,227,2654,224,1157
10031,Alfords Point,3131,1623,1664,38,2969,43,309
10032,Alfredtown,80,30,57,0,2624,4,18
10033,Alice,4,3,0,0,1074,0,0
10034,Alison (Central Coast - NSW),85,29,40,3,2249,3,8
10035,Alison (Dungog - NSW),99,42,51,4,1375,4,23
10036,Allambie Heights,7317,3812,3720,121,2890,130,1033
10037,Allandale (NSW),68,23,41,0,2124,3,0
10038,Allawah,5351,3434,2823,169,1774,26,379
10039,Alleena,60,20,35,0,1875,0,17
10040,Allgomera,139,36,68,11,949,0,14
10041,Allworth,190,33,83,0,1213,9,16
10042,Allynbrook,54,21,28,0,1083,4,12
10043,Alma Park,58,11,29,0,1833,0,17
10044,Alpine,141,73,81,0,2291,6,35
10045,Alstonvale,431,201,239,10,2038,11,79
10046,Alstonville,5912,2262,2548,87,1312,206,978
10047,Alumy Creek,86,25,42,0,1281,0,9
10048,Amaroo (NSW),44,17,21,0,2166,0,0
10049,Ambarvale,7254,2459,2844,240,1431,99,408
10050,Amosfield,40,11,15,0,1249,0,9
10051,Anabranch North,6,3,7,0,3250,0,5
10052,Anabranch South,41,14,21,0,1125,0,12
10053,Anambah,64,16,28,0,3049,0,13
10054,Ando,49,19,29,3,2250,0,6
10055,Anembo,72,27,37,0,2083,4,8
10056,Angledale,167,53,82,0,1474,4,37
10057,Angledool,34,7,10,0,825,0,7
10058,Anglers Reach,78,26,22,0,900,14,18
10059,Angourie,192,103,92,3,1437,4,39
10060,Angus,384,92,167,6,1890,9,14
10061,Anna Bay,4221,1306,1714,76,1189,192,512
10062,Annandale (NSW),9487,6273,5618,215,2683,113,1431
10063,Annangrove,1472,669,785,30,2650,21,182
10064,Appin (NSW),3213,1005,1606,43,2423,44,274
10065,Apple Tree Flat,46,14,22,0,1375,0,6
10066,Appleby,35,7,21,0,1812,0,6
10067,Appletree Flat,16,7,11,0,1375,0,3
10068,Apsley (NSW),116,40,53,0,1437,0,33
10069,Arable,21,5,8,0,3125,0,0
10070,Arakoon,445,172,180,12,1321,18,78
10071,Araluen (NSW),209,82,100,5,1042,13,56
10072,Aratula (NSW),4,3,3,0,0,0,0
10073,Arcadia (NSW),1475,729,758,18,2659,32,258
10074,Arcadia Vale,1431,469,709,40,1550,42,165
10075,Ardglen,50,8,23,0,1041,3,3
10076,Arding,182,83,93,0,1328,6,46
10077,Ardlethan,472,114,174,18,786,16,107
10078,Argalong,16,0,11,0,1999,0,3
10079,Argenton,1352,367,621,33,1318,30,73
10080,Argents Hill,207,59,87,9,1042,8,31
10081,Argoon,16,7,5,0,2750,0,4
10082,Ariah Park,439,115,188,7,1010,21,164
10083,Arkell,36,13,25,0,1593,0,4
10084,Arkstone,24,0,12,0,1625,0,0
10085,Armatree,164,48,68,4,1333,0,37
10086,Armidale,23967,10795,11030,627,1432,500,3935
10087,Arncliffe,12023,6460,5814,340,2046,95,785
10088,Arndell Park,6,3,6,0,1375,0,0
10089,Arrawarra,591,184,181,18,718,29,73
10090,Arrawarra Headland,615,296,314,9,1605,20,115
10091,Artarmon,9417,6191,5133,246,2420,95,1266
10092,Arthurville,47,21,28,0,2166,0,7
10093,Arumpo,40,14,21,0,1843,0,5
10094,Ashbury,3353,1794,1653,51,2571,30,358
10095,Ashby (NSW),316,106,94,3,1113,12,55
10096,Ashby Heights,292,107,117,11,1233,9,50
10097,Ashby Island,18,3,11,0,1024,0,0
10098,Ashcroft,3634,1108,957,120,1089,30,139
10099,Ashfield (NSW),23012,15147,12728,802,1888,196,2268
10100,Ashford (NSW),659,134,247,24,855,20,85
10101,Ashley,351,86,184,5,1899,3,38
10102,Ashmont,3747,845,1430,127,994,107,268
10103,Ashtonfield,4589,1709,2484,88,2148,142,447
10104,Asquith,6160,3715,3387,122,2300,63,673
10105,Atholwood,68,16,28,0,1406,0,14
10106,Attunga,542,148,287,6,1428,11,60
10107,Auburn (NSW),39333,19878,15017,1719,1533,99,1809
10108,Auburn Vale,127,49,69,0,1812,0,19
10109,Austinmer,2725,1552,1370,53,2586,58,490
10110,Austral,6847,2999,3082,131,2168,35,303
10111,Austral Eden,145,27,71,0,1375,4,14
10112,Avalon Beach,10379,5861,5153,187,2481,162,1610
10113,Avisford,45,7,14,0,1124,6,3
10114,Avoca (NSW),208,94,114,0,2250,0,32
10115,Avoca Beach,4708,2298,2377,62,2358,95,733
10116,Avon (NSW),0,0,0,0,0,0,0
10117,Avondale (NSW),1695,555,801,30,1524,28,151
10118,Avonside,157,78,96,0,2250,0,30
10119,Awaba,430,126,224,12,1726,7,57
10120,Aylmerton,195,78,124,4,1825,5,22
10121,Baan Baa,166,36,76,10,1770,3,17
10122,Babinda (NSW),14,3,6,0,1875,4,6
10123,Babyl Creek,4,0,4,0,575,0,0
10124,Back Creek (Bland - NSW),54,13,22,0,2250,0,13
10125,Back Creek (Gwydir - NSW),20,3,9,0,2250,0,4
10126,Back Creek (Mid-Coast - NSW),20,6,7,0,1375,0,5
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),7,3,3,0,900,0,3
10128,Back Creek (Tenterfield - NSW),4,0,0,0,575,5,0
10129,Back Creek (Tweed - NSW),27,6,14,0,1062,0,0
10130,Back Forest,91,50,46,0,1374,3,16
10131,Backmede,153,54,80,0,1843,4,23
10132,Backwater,19,9,8,0,900,0,0
10133,Badgerys Creek,168,38,58,0,1271,6,9
10134,Badja,9,7,4,0,1187,0,6
10135,Baerami,93,21,39,0,1208,3,8
10136,Baerami Creek,27,4,17,0,1416,0,5
10137,Bagnoo,43,12,23,0,1437,0,8
10138,Bago,45,12,17,0,2083,0,0
10139,Bagotville,60,17,36,0,1749,0,8
10140,Bakers Creek (Mid-Coast - NSW),41,14,16,0,1375,0,6
10141,Bakers Creek (Nambucca Valley - NSW),24,3,6,0,366,0,3
10142,Bakers Creek (Uralla - NSW),13,3,12,0,1937,0,3
10143,Bakers Swamp,60,29,29,0,1791,0,11
10144,Balaclava (NSW),574,221,298,7,2023,18,58
10145,Balala,122,42,59,0,1375,9,30
10146,Balcolyn,1002,312,450,32,1525,30,108
10147,Bald Blair,53,12,28,0,1416,3,10
10148,Bald Hills (NSW),321,106,167,0,1487,11,64
10149,Bald Nob,20,8,12,0,1375,0,15
10150,Bald Ridge,17,5,7,0,1574,0,0
10151,Baldersleigh,55,21,31,0,1562,0,13
10152,Baldry,67,19,38,0,1625,0,14
10153,Balfours Peak,45,12,18,0,1012,0,6
10154,Balgowlah,8068,4931,4390,139,2681,117,1187
10155,Balgowlah Heights,3546,2104,1744,69,4687,50,652
10156,Balgownie,5722,2513,2735,99,1912,105,682
10157,Balickera,18,0,12,0,2749,0,0
10158,Balladoran,140,31,64,0,1350,0,23
10159,Ballalaba,29,10,10,0,1125,0,3
10160,Balldale,168,32,59,0,1218,7,23
10161,Ballengarra,97,38,57,0,1483,8,14
10162,Ballimore,240,80,129,3,1857,3,49
10163,Ballina,9735,3240,3670,147,1013,390,1182
10164,Ballyroe,3,0,0,0,725,0,0
10165,Balmain,10454,6789,5942,238,3039,153,1654
10166,Balmain East,1900,1274,1024,41,3020,34,319
10167,Balmoral (Lake Macquarie - NSW),730,293,386,20,1931,18,74
10168,Balmoral (Wingecarribee - NSW),469,148,272,9,2147,14,53
10169,Balranald,1240,324,549,20,1197,20,284
10170,Bamarang,35,17,21,0,949,0,13
10171,Banda Banda,0,0,0,0,0,0,0
10172,Bandon Grove,135,42,68,0,1624,0,27
10173,Bangadang,11,6,3,0,1499,0,4
10174,Bangalee (NSW),818,344,405,12,2181,56,116
10175,Bangalow,2752,1336,1366,45,2097,28,426
10176,Bangheet,37,14,25,0,1562,0,10
10177,Bango,122,53,64,0,2625,5,22
10178,Bangor (NSW),5536,2657,2845,72,2626,108,708
10179,Banksia,3277,1688,1575,94,2018,21,243
10180,Banksmeadow,508,319,286,10,2225,7,36
10181,Bankstown,34933,17509,12794,1326,1331,92,1617
10182,Bankstown Aerodrome,5,0,3,0,1999,0,0
10183,Bannaby,47,11,31,0,1125,4,10
10184,Bannister (NSW),141,47,80,0,2250,6,30
10185,Banoon,19,10,13,0,1208,0,5
10186,Banora Point,16460,5787,7073,301,1268,623,1738
10187,Banyabba,31,3,14,0,1312,0,3
10188,Bar Beach,1292,797,753,41,2300,28,202
10189,Bar Point,122,54,41,4,1125,3,15
10190,Bara,19,9,11,0,1125,0,0
10191,Baradine,783,148,288,12,1034,15,96
10192,Barangaroo,220,156,128,3,4591,0,26
10193,Barcoongere,0,0,0,0,0,0,0
10194,Barden Ridge,4129,2050,2393,62,3134,48,435
10195,Bardia,5747,2983,2724,135,2417,43,309
10196,Bardwell Park,2320,1328,1181,46,2386,33,231
10197,Bardwell Valley,2344,1167,1037,45,2099,31,183
10198,Barellan,459,108,222,9,1262,9,107
10199,Bargo,4516,1252,2155,77,1736,101,410
10200,Barham,1569,436,671,21,995,56,296
10201,Barigan,0,0,0,0,0,0,0
10202,Barkers Vale,196,98,58,3,784,6,35
10203,Barmedman,404,103,139,3,864,14,81
10204,Barneys Reef,0,0,0,0,0,0,0
10205,Barnsley,1735,430,953,41,1784,35,124
10206,Barooga,1888,596,899,28,1375,52,280
10207,Barraba,1329,326,464,34,776,44,261
10208,Barrack Heights,6003,1694,2571,151,1340,99,382
10209,Barrack Point,725,258,350,14,1836,10,86
10210,Barraganyatti,150,53,53,5,1149,9,16
10211,Barragga Bay,91,48,42,4,1187,3,33
10212,Barratta (NSW),12,6,7,0,2249,0,0
10213,Barren Grounds,0,0,0,0,0,0,0
10214,Barrengarry,214,108,111,4,2062,11,58
10215,Barretts Creek,12,0,8,0,749,0,5
10216,Barringella,30,10,22,0,2624,0,0
10217,Barrington (NSW),394,112,161,0,1262,15,78
10218,Barrington Tops,0,0,0,0,350,0,0
10219,Barry (Blayney - NSW),153,49,87,5,1437,9,20
10220,Barry (Tamworth Regional - NSW),0,0,0,0,0,0,0
10221,Barwang,139,62,72,3,1875,3,31
10222,Baryulgil,20,0,0,0,725,0,3
10223,Basin View,1583,476,676,34,1244,79,181
10224,Bass Hill,10230,3983,3269,283,1411,65,504
10225,Bassendean (NSW),5,4,5,0,0,0,0
10226,Batar Creek,93,41,39,0,2071,0,25
10227,Bateau Bay,12516,4409,5472,232,1475,266,1118
10228,Batehaven,1911,604,733,44,1128,69,245
10229,Batemans Bay,1573,448,545,31,791,53,152
10230,Bathampton,40,22,24,0,1625,0,8
10231,Bathurst,7001,3200,3538,198,1209,173,914
10232,Batlow,1270,345,534,29,1064,29,171
10233,Baulkham Hills,37415,20898,18875,836,2474,451,3895
10234,Baw Baw (NSW),271,117,139,3,2178,10,42
10235,Bawley Point,844,365,324,13,1240,34,173
10236,Baxters Ridge,0,0,0,0,0,0,0
10237,Bayview (NSW),3807,2084,1505,59,1885,94,582
10238,Beacon Hill,7814,4168,4193,130,2937,119,955
10239,Beaconsfield (NSW),1172,860,853,16,3061,23,102
10240,Bean Creek,56,12,22,0,762,0,13
10241,Bearbong,72,17,34,0,1437,0,12
10242,Beaumont (NSW),117,75,58,6,1875,6,44
10243,Beaumont Hills,9041,5235,5078,219,3308,107,890
10244,Beckom,123,35,65,0,1125,3,36
10245,Bective,194,70,115,3,1575,3,31
10246,Bectric,53,9,24,0,1208,0,11
10247,Bedgerabong,127,34,61,0,1375,4,23
10248,Beechwood,914,292,445,23,1516,25,98
10249,Beecroft,10291,6350,5038,214,2962,182,1780
10250,Beecroft Peninsula,0,0,0,0,725,0,0
10251,Beelbangera,358,90,182,0,1786,4,36
10252,Beemunnel,34,10,20,0,2749,0,3
10253,Bega,5013,1484,2134,79,1196,109,689
10254,Beggan Beggan,128,54,70,0,2139,0,30
10255,Belanglo,22,10,8,0,2250,0,5
10256,Belbora,123,35,61,4,971,7,19
10257,Belfield,6555,3199,2696,118,1727,50,473
10258,Belford,176,53,101,0,2833,0,24
10259,Belfrayden,12,4,6,0,575,0,0
10260,Belgravia,124,44,64,0,2083,0,19
10261,Belimbla Park,576,171,289,4,2213,11,56
10262,Bell (NSW),44,17,17,0,1149,0,10
10263,Bella Vista,8384,5282,4595,189,3518,65,890
10264,Bellambi,4039,1270,1630,107,1183,63,332
10265,Bellangry,114,32,57,3,1149,7,11
10266,Bellata,266,71,124,3,1284,7,29
10267,Bellawongarah,116,77,40,0,2187,4,19
10268,Bellbird,2338,539,1053,69,1427,44,131
10269,Bellbird Heights,805,248,374,13,1487,19,76
10270,Bellbrook,339,75,120,10,858,8,68
10271,Bellevue Hill,10590,7228,5717,182,3315,102,1816
10272,Bellimbopinni,82,24,50,0,1187,4,10
10273,Bellingen,3923,1618,1717,106,1268,74,705
10274,Bellmount Forest,120,59,71,0,2812,7,38
10275,Belltrees,37,21,17,0,2750,0,7
10276,Belmont (NSW),7289,2481,3247,169,1280,223,773
10277,Belmont North,6291,2032,3141,139,1739,170,633
10278,Belmont South,1053,295,501,44,1239,23,80
10279,Belmore,13781,6829,5565,405,1456,63,768
10280,Belmore River,268,66,110,0,1292,6,34
10281,Beloka,20,8,14,0,2750,0,5
10282,Belowra,5,0,6,0,1499,0,0
10283,Belrose,8726,4618,4178,120,2598,175,1262
10284,Bemboka,589,181,248,17,1015,23,114
10285,Ben Bullen,71,21,37,0,1562,5,10
10286,Ben Lomond (NSW),135,49,64,5,1231,0,29
10287,Benandarah,165,48,70,4,1025,8,13
10288,Bendalong,135,55,44,0,1224,5,19
10289,Bendemeer,486,144,203,6,1021,11,90
10290,Bendick Murrell,143,48,68,0,1152,4,20
10291,Bendolba,253,64,113,6,1625,8,29
10292,Bendoura,108,44,53,0,1416,0,24
10293,Benerembah,140,30,56,5,2125,0,13
10294,Bengalla,16,6,10,0,1875,0,0
10295,Bennetts Green,0,0,0,0,900,0,0
10296,Benolong,76,26,44,0,1843,4,14
10297,Bensville,2500,1075,1300,45,2176,39,307
10298,Bentley (NSW),225,69,111,3,1212,10,36
10299,Berala,8757,4376,3526,323,1552,40,515
10300,Berambing,104,46,59,0,2035,0,16
10301,Beresfield,3267,898,1512,81,1257,109,251
10302,Bergalia,180,75,87,7,1541,4,30
10303,Berkeley,7798,2329,3077,192,1217,120,549
10304,Berkeley Vale,8951,3087,4465,174,1791,191,704
10305,Berkshire Park,2149,260,501,19,2036,10,95
10306,Berlang,0,0,0,0,0,0,0
10307,Bermagui,1865,749,703,24,1022,59,383
10308,Berowra,4762,2537,2622,76,2781,86,755
10309,Berowra Heights,5286,2675,2803,87,2468,102,853
10310,Berowra Waters,169,110,76,0,1812,8,32
10311,Berrambool,486,200,224,6,1136,11,78
10312,Berrara,333,117,135,3,1269,15,61
10313,Berremangra,87,25,54,0,1541,5,21
10314,Berrico,33,12,10,0,1406,0,6
10315,Berridale,1300,499,644,17,1455,40,219
10316,Berrigal,39,14,23,0,612,0,9
10317,Berrigan,1264,328,497,21,980,46,291
10318,Berrilee,212,115,108,3,2349,0,30
10319,Berrima,813,382,368,5,2100,24,155
10320,Berringer Lake,30,6,14,0,900,0,0
10321,Berry,3098,1373,1223,42,1495,122,632
10322,Berry Jerry,82,27,53,0,2156,0,35
10323,Berry Mountain,29,21,9,0,2250,0,11
10324,Berry Park,182,65,78,0,1125,6,23
10325,Berthong,65,29,38,0,2250,0,7
10326,Beryl,117,24,42,0,1583,0,12
10327,Bethungra,137,39,67,0,1016,3,32
10328,Bevendale,45,5,20,0,1208,0,3
10329,Beverley Park,2646,1343,1163,34,2242,25,193
10330,Beverly Hills,10483,5700,4707,283,1862,83,887
10331,Bewong,80,26,39,0,1774,3,4
10332,Bexhill,528,200,263,11,1704,8,86
10333,Bexley,19646,10006,8750,462,1870,152,1344
10334,Bexley North,4281,2232,1935,103,1894,37,318
10335,Biala,84,33,44,0,2125,0,18
10336,Bibbenluke,82,20,43,0,1357,3,14
10337,Biddon,123,28,60,0,1300,5,22
10338,Bidgeemia,32,17,24,0,2250,0,12
10339,Bidwill (NSW),4202,976,1057,150,899,43,161
10340,Bielsdown Hills,104,39,63,0,1343,0,18
10341,Big Hill (NSW),78,24,29,0,2333,3,8
10342,Big Jacks Creek,61,28,45,0,2124,0,18
10343,Big Ridge,16,3,4,0,1666,0,0
10344,Big Springs,135,47,75,0,1708,4,29
10345,Bigga,268,93,107,4,875,0,46
10346,Bilambil,441,166,209,15,1385,18,58
10347,Bilambil Heights,3491,1336,1692,94,1562,101,369
10348,Bilbul,586,162,334,9,2025,5,79
10349,Bilgola Beach,251,163,108,0,4299,4,49
10350,Bilgola Plateau,3650,2074,1881,61,2856,60,538
10351,Billeroy,31,14,22,0,1875,0,5
10352,Billilingra,7,0,9,0,2250,0,0
10353,Billimari,117,30,56,0,1375,9,25
10354,Billinudgel,261,87,109,0,1474,0,33
10355,Billys Creek,79,27,33,3,491,0,22
10356,Billywillinga,196,84,103,3,1843,6,38
10357,Bilpin,653,244,312,3,1692,23,141
10358,Bimberi,0,0,0,0,0,0,0
10359,Bimbi,71,16,30,0,1781,0,9
10360,Bimbimbie,113,35,54,0,1666,0,15
10361,Binalong,550,221,254,3,1433,19,100
10362,Binda,291,84,141,4,1325,12,37
10363,Bindera,32,10,6,0,962,0,7
10364,Bingara,1318,305,439,33,853,48,263
10365,Bingeebeebra Creek,39,6,12,0,1333,0,3
10366,Bingie,205,97,79,7,1125,3,45
10367,Bingleburra,36,13,12,0,900,5,14
10368,Biniguy,159,44,74,0,1474,7,13
10369,Binjura,339,142,172,0,2042,11,61
10370,Binna Burra (NSW),223,96,103,7,2113,7,32
10371,Binnaway,658,155,234,27,782,22,127
10372,Binya,122,47,72,0,1875,0,34
10373,Birchgrove,3228,2177,1765,60,3603,52,667
10374,Birdwood (NSW),34,9,16,0,624,3,3
10375,Birganbigil,59,15,34,0,1600,0,12
10376,Birmingham Gardens,2598,1303,1447,110,1468,41,274
10377,Birriwa,45,10,23,0,1624,0,14
10378,Birrong,3331,1544,1213,110,1575,30,178
10379,Bishops Bridge,218,74,125,0,1949,5,23
10380,Bithramere,163,59,82,3,1625,3,23
10381,Black Creek (Port Macquarie-Hastings - NSW),47,24,29,0,1416,0,11
10382,Black Creek (Snowy Valleys - NSW),16,5,9,0,1375,0,0
10383,Black Head,972,367,300,11,1053,66,215
10384,Black Hill (NSW),516,202,278,9,2980,12,60
10385,Black Hollow,11,5,8,0,1375,0,0
10386,Black Mountain (NSW),291,145,159,9,1768,5,69
10387,Black Range (NSW),230,75,119,7,1625,0,45
10388,Black Springs (NSW),227,55,88,0,1774,4,34
10389,Blackalls Park,2812,872,1311,61,1422,94,298
10390,Blackbutt (NSW),3291,1221,1603,77,1604,55,241
10391,Blackett,3586,934,1101,101,1174,38,157
10392,Blackheath,4672,2471,2030,85,1332,146,906
10393,Blackmans Flat,22,3,12,0,2250,3,8
10394,Blackmans Point,178,52,67,8,737,3,29
10395,Blacksmiths,1881,547,855,52,1252,49,237
10396,Blacktown,50961,25159,23512,1672,1774,446,3231
10397,Blackville,128,36,57,11,1416,0,27
10398,Blackwall (NSW),1941,738,867,37,1449,38,191
10399,Blair Athol (NSW),2725,1474,1439,94,2389,25,206
10400,Blairmount,409,172,170,7,1792,15,21
10401,Blakebrook,132,39,81,0,1825,4,20
10402,Blakehurst,6652,3667,3134,102,2474,71,564
10403,Blakney Creek,92,41,53,0,2374,0,21
10404,Bland,61,11,25,0,1437,0,17
10405,Blandford,205,72,112,0,1449,8,47
10406,Blaxland (NSW),7434,3591,3727,134,2171,199,1220
10407,Blaxlands Creek,113,38,53,6,1531,4,17
10408,Blaxlands Ridge,589,199,322,3,2764,12,71
10409,Blayney,3448,947,1618,101,1383,81,408
10410,Bligh Park,6220,2097,3411,120,2029,181,523
10411,Blighty,192,57,95,3,1374,0,38
10412,Blowering,3,0,0,0,450,0,0
10413,Blue Bay,1060,420,494,34,1323,20,117
10414,Blue Haven,6563,1829,3055,184,1608,127,342
10415,Blue Knob,210,91,60,4,739,3,38
10416,Blue Mountains National Park,0,0,0,0,1625,0,0
10417,Blue Nobby,25,11,16,0,1624,0,9
10418,Blue Vale,81,31,46,0,2083,0,7
10419,Blueys Beach,242,104,100,0,1275,4,38
10420,Boambee,1770,719,917,39,2048,47,291
10421,Boambee East,5304,1785,2522,123,1407,153,637
10422,Boambolo,79,34,35,0,2312,5,15
10423,Boat Harbour (Lismore - NSW),19,3,7,0,2374,0,0
10424,Boat Harbour (Port Stephens - NSW),993,414,501,25,1741,39,150
10425,Bobadah,30,15,25,0,1937,0,4
10426,Bobin,141,55,63,3,1083,0,24
10427,Bobs Creek,119,37,57,0,1531,0,15
10428,Bobs Farm,662,185,255,13,1211,23,81
10429,Bobundara,27,12,21,0,900,0,8
10430,Boco,16,6,5,0,2499,0,0
10431,Bocoble,132,35,51,6,1359,4,10
10432,Bocobra,60,18,33,4,1375,3,12
10433,Bodalla,808,278,358,19,1181,28,113
10434,Bodangora,74,23,38,0,1187,3,9
10435,Boeill Creek,89,32,60,0,2399,0,19
10436,Bogan,44,10,31,0,1166,0,14
10437,Bogan Gate,269,62,106,9,1260,8,54
10438,Bogangar,3313,1316,1648,64,1595,75,402
10439,Bogee,82,26,24,0,933,0,14
10440,Boggabilla,1022,190,271,43,1105,8,99
10441,Boggabri,1203,272,514,25,1506,23,190
10442,Bogong Peaks Wilderness,0,0,0,0,0,0,0
10443,Bohena Creek,214,39,101,0,2125,8,18
10444,Bohnock,83,29,36,0,1625,0,4
10445,Bolaro,31,16,10,0,774,0,11
10446,Bolivia,74,25,40,0,866,0,17
10447,Bolong,94,29,50,5,1625,4,18
10448,Bolton Point,2124,637,815,66,1217,71,232
10449,Bolwarra (NSW),1350,559,695,28,2217,27,171
10450,Bolwarra Heights,3436,1381,1825,54,2546,105,434
10451,Bom Bom,0,0,0,0,1625,0,0
10452,Bomaderry,6738,2020,2736,142,1119,389,768
10453,Bombah Point,24,4,10,0,2749,0,4
10454,Bombala,1372,364,637,22,1277,41,231
10455,Bombay,142,65,63,0,2042,7,29
10456,Bombira,504,202,258,0,2903,12,75
10457,Bombo,175,77,98,6,2594,4,13
10458,Bombowlee,291,98,162,9,1800,11,50
10459,Bombowlee Creek,52,20,35,0,2333,0,3
10460,Bomen,40,22,25,0,1875,0,12
10461,Bonalbo,338,103,107,11,668,8,65
10462,Bondi,10411,7319,6366,268,2546,103,1240
10463,Bondi Beach,11513,8362,7542,296,2795,105,1496
10464,Bondi Forest,0,0,0,0,0,0,0
10465,Bondi Junction,10361,7089,5993,260,2379,134,1118
10466,Bonnells Bay,4066,1334,1801,103,1460,92,476
10467,Bonnet Bay,2238,1235,1209,38,3087,54,347
10468,Bonny Hills,3045,1187,1419,54,1421,102,570
10469,Bonnyrigg,9785,4088,3291,271,1393,27,443
10470,Bonnyrigg Heights,7369,3361,2946,214,1930,22,314
10471,Bonshaw (NSW),133,36,62,6,1042,0,31
10472,Bonville,2939,1090,1481,53,1829,86,400
10473,Booerie Creek,130,52,70,0,1458,3,21
10474,Book Book,130,39,60,3,1843,5,18
10475,Booker Bay,1442,529,519,24,1218,48,165
10476,Bookham,127,56,71,0,1375,0,32
10477,Bookookoorara,0,0,0,0,0,0,0
10478,Bookram,0,0,0,0,0,0,0
10479,Boolambayte,85,16,27,0,1062,3,5
10480,Boolaroo,1636,550,819,31,1504,60,144
10481,Boolcarroll,25,5,12,0,3249,0,7
10482,Booligal,98,39,54,0,1812,0,30
10483,Boolijah,0,0,0,0,0,0,0
10484,Boomanoomana,116,38,62,0,2050,5,29
10485,Boomerang Beach,423,183,190,6,1454,4,55
10486,Boomey,88,29,41,0,1687,0,13
10487,Boomi,207,43,70,4,1343,3,30
10488,Boomi Creek,14,7,10,0,1374,0,5
10489,Boona Mount,46,10,32,0,1125,0,17
10490,Boonal,51,18,26,0,1708,0,9
10491,Boonoo Boonoo,19,6,3,0,743,0,0
10492,Boorabee Park,146,51,73,0,2017,8,20
10493,Booragul,1623,417,574,33,1114,53,124
10494,Booral (NSW),457,134,224,14,1607,17,48
10495,Boorga,27,3,17,0,2749,0,8
10496,Boorganna,24,5,3,0,762,0,0
10497,Boorolong,71,31,41,0,1562,0,13
10498,Boorook,20,7,10,0,899,0,3
10499,Boorooma,1741,922,1035,26,2399,59,218
10500,Booroorban,36,20,26,0,1874,0,11
10501,Boorowa,1888,568,738,23,1199,41,309
10502,Bootawa,174,69,83,7,1204,6,46
10503,Booti Booti,0,0,0,0,0,0,0
10504,Booyong,84,40,46,0,1792,0,8
10505,Bora Ridge,107,26,44,9,1292,4,17
10506,Borah Creek,22,8,10,0,524,0,4
10507,Borambola,117,34,68,0,1625,4,21
10508,Border Ranges,0,0,0,0,0,0,0
10509,Boree,93,38,54,0,2083,0,20
10510,Boree Creek,204,47,96,0,1233,5,32
10511,Borenore,476,212,275,5,2480,10,88
10512,Boro,97,38,55,0,2535,4,17
10513,Bossley Park,15492,6275,5248,379,1542,75,802
10514,Bostobrick,132,51,51,0,974,5,21
10515,Botany,12960,6908,7228,234,2373,300,1083
10516,Botobolar,131,38,60,0,2249,4,19
10517,Bottle Creek,42,11,14,0,725,0,9
10518,Bouddi,5,0,0,0,1249,0,0
10519,Bourbah,42,15,23,0,1375,0,12
10520,Bourke,1699,450,717,24,1560,25,170
10521,Bourkelands,3113,1296,1715,43,2203,148,388
10522,Bournda,127,37,64,0,1437,6,31
10523,Bournewood,60,11,26,0,1800,0,20
10524,Bow Bowing,1606,758,824,45,2108,16,103
10525,Bowan Park,106,49,57,0,2624,3,25
10526,Bowen Mountain,1609,665,885,14,2235,48,199
10527,Bowenfels,2049,422,656,73,917,40,158
10528,Bowling Alley Point,21,6,6,0,1649,0,0
10529,Bowman,139,41,53,0,1281,3,33
10530,Bowman Farm,41,12,20,0,949,0,13
10531,Bowmans Creek,17,6,9,0,1249,0,5
10532,Bowna,115,51,69,0,2187,0,27
10533,Bowning,619,259,320,7,1888,27,121
10534,Bowral,10764,5556,4488,128,1535,406,1839
10535,Bowraville,1157,269,407,38,947,37,164
10536,Box Head,0,0,0,0,0,0,0
10537,Box Hill (NSW),6450,3486,3595,122,2881,50,374
10538,Boxers Creek,259,58,124,4,1458,6,28
10539,Boydtown,75,16,31,5,739,5,13
