sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
11841,Halls Creek (NSW),180,64,100,0,1437,4,37
11842,Hallsville,642,232,344,10,2008,17,103
11843,Halton,25,7,17,0,1374,0,10
11844,Hambledon Hill,14,7,3,0,1937,0,0
11845,Hamilton (NSW),4614,2590,2717,116,1689,128,603
11846,Hamilton East,997,533,510,21,2297,31,156
11847,Hamilton North,934,434,550,17,1934,26,89
11848,Hamilton South,4057,1755,1777,121,1426,104,534
11849,Hamilton Valley,834,277,459,11,1924,13,82
11850,Hamlyn Terrace,8761,2972,4143,181,1941,158,602
11851,Hammondville,3691,1423,1502,50,1868,91,273
11852,Hampden Hall,74,20,32,0,1199,0,13
11853,Hampton (NSW),118,53,53,0,1446,3,20
11854,Hanging Rock,98,33,31,0,849,4,18
11855,Hanleys Creek,3,0,0,0,4750,0,0
11856,Hannam Vale,218,92,95,0,1406,5,43
11857,Hanwood,1388,384,678,12,1856,11,153
11858,Harden,1900,466,740,39,973,61,307
11859,Hardys Bay,233,148,117,4,2068,10,57
11860,Harefield,165,75,99,0,3035,4,38
11861,Hargraves,300,71,120,7,872,8,41
11862,Harolds Cross,79,49,48,0,2374,3,22
11863,Harparary,47,15,29,0,2250,0,14
11864,Harpers Hill,64,20,31,0,1562,7,10
11865,Harrington,3381,817,926,61,883,190,502
11866,Harrington Park,13332,5638,7181,193,3014,206,1028
11867,Harris Park,5043,3363,2682,226,1779,14,321
11868,Hartley (NSW),478,162,250,3,1906,11,78
11869,Hartley Vale,84,27,45,0,1708,0,17
11870,Hartwood,26,8,14,0,2125,0,4
11871,Hartys Plains,36,16,17,0,1749,0,3
11872,Harwood,346,86,161,11,1101,9,33
11873,Hassall Grove,4401,1941,2149,132,2018,35,244
11874,Hassans Walls,0,0,0,0,0,0,0
11875,Hastings Point,661,181,170,4,744,21,85
11876,Hat Head,365,143,143,10,990,11,63
11877,Hatfield,10,6,7,0,725,0,4
11878,Havilah (NSW),42,19,19,0,2125,0,9
11879,Hawkesbury Heights,468,196,260,12,2279,16,46
11880,Hawks Nest,1413,512,475,23,1096,50,236
11881,Hay (NSW),2300,643,1039,44,1152,45,409
11882,Hay South,357,121,183,3,1413,5,79
11883,Hayes Gap,22,5,13,0,2250,0,3
11884,Haymarket,8305,6344,4476,437,1931,41,537
11885,Haystack,3,0,3,0,1125,0,3
11886,Hayters Hill,40,20,19,0,2749,0,4
11887,Haywards Bay,1280,459,659,22,2308,28,92
11888,Hazelbrook,5077,2379,2528,105,1794,123,759
11889,Hazelgrove,97,39,53,0,1775,3,17
11890,Heathcote (NSW),6148,2602,3132,83,2240,146,818
11891,Heatherbrae,654,162,262,20,1066,27,42
11892,Hebden,67,17,41,0,3416,0,11
11893,Hebersham,5643,1889,2032,179,1335,44,304
11894,Heckenberg,3263,1103,960,121,1159,23,128
11895,Heddon Greta,2838,813,1509,55,2130,61,187
11896,Heifer Station,8,7,8,0,2124,0,3
11897,Helensburgh,6576,2640,3565,111,2490,119,819
11898,Henley,455,290,224,4,3353,8,75
11899,Henty (NSW),1225,322,484,19,1016,52,283
11900,Hereford Hall,23,12,9,0,1249,3,0
11901,Hermidale,127,25,61,0,1562,0,24
11902,Hermitage Flat,323,86,128,7,979,8,28
11903,Hernani,117,44,54,0,1375,0,29
11904,Herons Creek,246,66,107,0,1266,8,36
11905,Hexham (NSW),157,35,57,3,928,5,11
